Statistical Period,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,南港區,內湖區,士林區,北投區
10701,1681,893,1275,1287,1325,578,681,1091,1613,1448,1120,987
10702,1695,1014,1316,1305,1341,586,677,1118,1621,1480,1141,1010
10703,1719,1042,1332,1329,1358,612,760,1153,1601,1505,1179,1034
10704,1728,1070,1362,1348,1368,626,778,1172,1610,1536,1225,1064
10705,1753,1089,1400,1369,1377,639,799,1208,1623,1622,1259,1083
10706,1784,1121,1450,1403,1408,657,820,1215,1643,1672,1321,1118
10707,2116,1155,1510,1417,1422,691,848,1257,1666,1715,1378,1163
10708,2667,1215,1549,1437,1451,710,887,1302,1688,1762,1425,1200
10709,2695,1248,1584,1460,1566,730,925,1340,1703,1838,1487,1248
10710,2921,1298,1636,1507,1604,756,966,1387,1731,1923,1563,1303
10711,2957,1428,1643,1564,1633,797,1005,1441,1757,1962,1638,1351
10712,3013,1453,1651,1605,1655,820,1110,1489,1781,2027,1695,1390
10801,3055,1490,1692,1635,1691,847,1149,1545,1805,2130,1762,1453
10802,3081,1521,1729,1668,1712,870,1172,1586,1826,2207,1821,1494
10803,3102,1548,1760,2005,1763,894,1230,1640,1838,2267,1864,1542
10804,3136,1594,1780,2052,1786,925,1263,1707,1850,2332,1939,1598
10805,3171,1659,1822,2215,1857,955,1350,1787,1889,2426,2014,1671
10806,3241,1713,1895,2263,1902,980,1471,1896,1927,2523,2092,1744
10807,3589,1759,1968,2325,2226,1011,1529,1988,1961,2633,2190,1821
10808,3657,1837,2047,2388,2451,1054,1577,2094,2010,2799,2298,1918
10809,3725,1905,2110,3170,2499,1102,1635,2199,2038,2915,2404,2024
10810,4649,2002,2229,3837,2569,1167,1730,2320,2096,3013,2544,2169
10811,6765,2142,2363,5907,2664,1258,1865,2523,2179,3212,2739,2346
10812,8136,2316,2547,6579,2782,1376,2078,2781,2281,3468,2994,2589
10901,8161,2323,2592,6594,2811,1385,2096,2816,2302,3507,3018,2624
10902,8203,2374,2645,6645,2848,1403,2182,2874,2336,3591,3104,2689
10903,8257,2422,2754,6699,2878,1448,2257,2960,2378,3680,3212,2756
10904,8297,2484,2731,6773,2913,1476,2305,3024,2418,3770,3264,2824
10905,8333,2532,2756,6820,2938,1502,2354,3077,2448,3847,3347,2888
10906,8375,2592,2819,7094,2969,1524,2364,3124,2467,3858,3424,2938
10904,8435,2670,2884,7353,3368,1653,2406,3210,2506,3944,3494,3026
10908,8487,2708,2975,7446,3409,1771,2441,3284,2545,4044,3563,3096
10909,8534,2785,3101,7561,3478,1816,2514,3369,2573,4178,3649,3167
10910,8564,2838,3178,7603,3510,1863,2590,3455,2613,4285,3737,3249
10911,8602,2875,3228,7670,3624,1890,2653,3531,2640,4364,3823,3344
10912,8666,2942,3270,7786,3658,1939,2703,3620,2684,4572,3911,3448
11001,8676,2961,3276,7784,3671,1943,2809,3629,2686,4595,3924,3455
11002,8685,2971,3300,7815,3688,1954,2877,3666,2699,4628,3941,3472
11003,8741,3054,3384,7883,3726,2008,2948,3744,2739,4725,4062,3569
11004,8804,3114,3464,7945,3785,2047,3012,3820,2796,4844,4179,3655
11005,8851,3196,3536,8026,3828,2150,3020,3911,2833,4969,4288,3735
11006,8895,3218,3576,8081,3847,2195,3058,3959,2860,5064,4354,3782
11007,8878,3290,3655,8189,3869,2242,3108,4043,2891,5181,4432,3864
11008,8942,3339,3734,8263,4315,2356,3163,4129,2924,5301,4505,3955
11009,9028,3411,3828,8384,4365,2411,3243,4230,2976,5434,4625,4066
11010,9151,3548,3980,8519,4549,2524,3351,4385,3054,5672,4807,4226
11011,9273,3667,4160,8732,4645,2612,3503,4557,3151,5935,4996,4436
11012,9414,3844,4335,8923,4759,2729,3667,4822,3248,6240,5281,4704
11101,9440,3870,4357,8956,4783,2775,3710,4888,3257,6286,5325,4746
11102,9503,3906,4399,8991,4806,2791,3792,4957,3280,6362,5410,4807
11103,9593,4021,4539,9092,4880,2960,3911,5100,3331,6523,5559,4933
11104,9645,4082,4610,9147,4936,3001,4010,5171,3361,6658,5657,5055
11105,9717,4168,4684,9190,4997,3050,4092,5263,3402,6777,5757,5172
11106,9804,4289,4793,9332,5387,3117,4201,5427,3461,6968,5877,5323
11107,9882,4378,4904,9402,5435,3174,4295,5533,3512,7128,5982,5422
11108,9963,4460,4980,9456,5476,3236,4349,5633,3656,7241,6077,5548
11109,10053,4555,5076,9559,5537,3310,4430,5774,3748,7381,6213,5673
11110,10127,4622,5333,9679,5602,3374,4330,5894,3782,7526,6328,5790
11111,10214,4739,5433,9790,5679,3438,4441,6008,3817,7674,6437,5889
11112,10332,4845,5540,9834,5756,3637,4532,6153,3875,7877,6563,6041
11201,10345,4851,5533,9856,5763,3649,4538,6179,3583,7894,6582,6054
11202,10386,4910,5566,9848,5782,3688,4562,6215,3615,7941,6638,6131
11203,10444,5003,5628,9906,5845,3740,4632,6322,3177,8066,6724,6227
11204,10501,5094,5713,10027,5899,3826,4689,6389,3028,8163,6814,6299
11205,10546,5156,5798,10119,5923,3842,4736,6457,3069,8261,6917,6354
11206,10580,5271,5895,10134,6525,3888,4783,6536,3108,8363,6954,6415
11207,10643,5339,5954,10195,6563,3919,4826,6599,3143,8497,7018,6492
11208,10703,5419,6063,10238,6607,3961,4866,6672,3171,8614,7090,6576
11209,10749,5481,6111,10357,6655,4009,4946,6756,3211,8731,7182,6657
11210,10828,5574,6190,10398,6701,4040,5032,6841,3246,8875,7291,6727
11211,10732,5639,6234,10487,6738,4070,5067,6943,3281,8979,7406,6808
11212,10855,5723,6311,10580,6788,4148,5135,7034,3313,9125,7513,6903
11301,10580,5719,6316,10474,6783,4147,5137,7047,3315,9132,7535,6956
11302,10507,5735,6358,10492,6832,4152,5137,7069,3328,9170,7550,6991
11303,10720,5748,6402,10519,6825,4168,5171,7089,3378,9162,7583,7005
11304,10947,5959,6447,10522,6857,4191,5202,7133,3395,9205,7622,7048
11305,10821,6003,6479,10541,7346,4228,5240,7189,3408,9256,7687,7082
11306,11250,6068,6582,10583,7441,4273,5273,7242,3448,9327,7739,7145
11307,11289,6086,6632,10578,7491,4287,5300,7310,3488,9399,7802,7209
11308,11422,6138,6699,10621,7497,4316,5327,7371,3509,9461,7851,7275
11309,11537,6193,6766,10613,7514,4324,5343,7423,3606,9523,7901,7328
11310,11564,6271,6834,10667,7538,4367,5372,7531,3622,9628,7967,7406
