行政區,電動機車數量,充電站數量,每站服務車輛數,未來車輛數量,未來每站服務車輛數
中山區,10667,15,711.1333333333333,11733.7,782.2466666666667
中正區,7538,9,837.5555555555555,8291.800000000001,921.3111111111112
信義區,6271,13,482.38461538461536,6898.1,530.623076923077
內湖區,9628,17,566.3529411764706,10590.800000000001,622.9882352941177
北投區,7406,13,569.6923076923077,8146.6,626.6615384615385
南港區,3875,9,430.55555555555554,4262.5,473.6111111111111
士林區,7967,18,442.6111111111111,8763.7,486.87222222222226
大同區,4367,9,485.22222222222223,4803.700000000001,533.7444444444445
大安區,6834,15,455.6,7517.400000000001,501.16
文山區,7531,10,753.1,8284.1,828.4100000000001
松山區,11564,15,770.9333333333333,12720.400000000001,848.0266666666668
萬華區,5372,10,537.2,5909.200000000001,590.9200000000001
