行政區,電動機車數量,充電站數量,每站服務車輛數,未來車輛數量,未來每站服務車輛數,人口密度,預測未來每站服務車輛數,建議
中山區,10667,15,711.13,11733.7,782.25,15767,778.9268999999997,減少
中正區,7538,9,837.56,8291.8,921.31,19581,790.7054999999995,減少
信義區,6271,13,482.38,6898.1,530.62,18338,534.9704000000007,減少
內湖區,9628,17,566.35,10590.8,622.99,8694,625.2422999999998,減少
北投區,7406,13,569.69,8146.6,626.66,4249,617.4946000000006,減少
南港區,3875,9,430.56,4262.5,473.61,5178,508.68810000000036,減少
士林區,7967,18,442.61,8763.7,486.87,4250,516.3336000000006,減少
大同區,4367,9,485.22,4803.7,533.74,21025,553.4191,減少
大安區,6834,15,455.6,7517.4,501.16,25557,518.828200000001,減少
文山區,7531,10,753.1,8284.1,828.41,8227,781.9061999999997,減少
松山區,11564,15,770.93,12720.4,848.03,20720,780.6550999999996,減少
萬華區,5372,10,537.2,5909.2,590.92,19468,599.1926999999993,減少
