名稱,經度,緯度
G2 commercial 測試站,121.359698,25.045013
青蔦菓子咖啡充電站,121.152876,22.755083
馬桶有魚民宿充電站,121.140809,22.742985
來就發彩卷行充電站,121.151806,22.752452
45號碼頭充電站,119.574553,23.572389
松山Citylink門市,121.579231,25.049624
土城裕民門市,121.452618,24.985498
新莊幸福門市,121.4466685,25.0493191
桃園中正門市,121.312888,24.991212
台中三民門市,120.684927,24.151306
永康中華門市,120.235488,23.003016
高雄中山門市,120.3012478,22.6241974
內湖Citylink門市,121.594264,25.084031
豐原中正門市,120.721852,24.253551
竹東長春服務中心,121.089395,24.736103
汐止大同服務中心,121.655076,25.066591
楊梅騏轟服務中心,121.174083,24.911261
中和中原服務中心,121.49109,25.007936
三民鼎強服務中心,120.320886,22.665515
信義松仁服務中心,121.568228,25.028092
北屯文心服務中心,120.694946,24.171483
竹北成功服務中心,121.019858,24.817287
台南裕農服務中心,120.246207,22.990259
北區小東服務中心,120.228633,22.999981
龜山文化服務中心,121.361245,25.052988
內湖西湖服務中心,121.571906,25.082407
中山松江服務中心,121.533016,25.067187
新生市民服務中心,121.531539,25.047252
三重光復服務中心,121.471839,25.05385
中壢龍岡服務中心,121.224453,24.94971
東區民權服務中心,120.97652,24.806505
桃園永安服務中心,121.302863,24.998383
光華八德門市,121.53126,25.044132
松山饒河門市,121.5751152,25.0498814
圓山承德門市,121.51874,25.070867
師大和平門市,121.529318,25.02712
板橋館前門市,121.4603758,25.0070782
永和中正門市,121.5162996,24.9979853
桃園八德門市,121.2975593,24.9493347
桃園藝文門市,121.305117,25.01434
中壢復興門市,121.225055,24.956334
新竹北大門市,120.96219,24.805765
台南公園門市,120.205517,22.994531
鳳山青年門市,120.350851,22.639587
左營博愛門市,120.303737,22.6696
高雄岡山門市,120.296408,22.790233
板橋廣權交車中心,121.460497,24.990911
台中站前交車中心,120.686887,24.138265
高雄中正交車中心,120.312073,22.630904
北桃永安交車中心,121.290919,25.007842
新竹林森服務中心,120.964368,24.799004
新店北新服務中心,121.540723,24.985133
內湖民權服務中心,121.608623,25.07045
新莊中正服務中心,121.461918,25.039618
蘆洲三民服務中心,121.470737,25.087791
土城明德服務中心,121.449554,24.982311
桃園復興服務中心,121.318492,24.991084
台中柳川服務中心,120.68143,24.155019
豐原中山服務中心,120.713265,24.2518
永康中山南服務中心,120.25417,23.024788
高雄五甲服務中心,120.32691,22.592607
高雄中正服務中心,120.312073,22.630904
三重集成服務中心,121.489388,25.052408
竹北中正東門市,121.015317,24.835261
彰化中山門市,120.544071,24.076766
嘉義興業東門市,120.454721,23.4693
樹林三俊門市,121.422551,25.014216
屏東公園門市,120.490622,22.674148
東區崇德門市,120.227298,22.971725
三民建工門市,120.328235,22.652214
小港漢民門市,120.356472,22.567312
安平中華門市,120.186592,22.988245
楠梓益群門市,120.296921,22.725124
仁武仁雄門市,120.349494,22.680051
安南安和門市,120.214191,23.029323
宜蘭中山門市,121.752543,24.754185
中和員山門市,121.481198,25.002994
文山木新門市,121.560216,24.98153
三重集賢門市,121.484372,25.088425
天母忠誠門市,121.52853,25.105171
台南新營門市,120.312857,23.310799
花蓮中華門市,121.6002447,23.9753117
屏東潮州門市,120.537443,22.549765
新店民權門市,121.534201,24.982985
苓雅三多門市,120.330511,22.622389
太平樹德門市,120.713118,24.159809
鳳山五甲門市,120.356746,22.620792
三峽復興門市,121.373507,24.937235
