Statistical Period,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,南港區,內湖區,士林區,北投區,松山區_新增數量,信義區_新增數量,大安區_新增數量,中山區_新增數量,中正區_新增數量,大同區_新增數量,萬華區_新增數量,文山區_新增數量,南港區_新增數量,內湖區_新增數量,士林區_新增數量,北投區_新增數量
10701,1681,893,1275,1287,1325,578,681,1091,1613,1448,1120,987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10702,1695,1014,1316,1305,1341,586,677,1118,1621,1480,1141,1010,14.0,121.0,41.0,18.0,16.0,8.0,0.0,27.0,8.0,32.0,21.0,23.0
10703,1719,1042,1332,1329,1358,612,760,1153,1601,1505,1179,1034,24.0,28.0,16.0,24.0,17.0,26.0,83.0,35.0,0.0,25.0,38.0,24.0
10704,1728,1070,1362,1348,1368,626,778,1172,1610,1536,1225,1064,9.0,28.0,30.0,19.0,10.0,14.0,18.0,19.0,9.0,31.0,46.0,30.0
10705,1753,1089,1400,1369,1377,639,799,1208,1623,1622,1259,1083,25.0,19.0,38.0,21.0,9.0,13.0,21.0,36.0,13.0,86.0,34.0,19.0
10706,1784,1121,1450,1403,1408,657,820,1215,1643,1672,1321,1118,31.0,32.0,50.0,34.0,31.0,18.0,21.0,7.0,20.0,50.0,62.0,35.0
10707,2116,1155,1510,1417,1422,691,848,1257,1666,1715,1378,1163,332.0,34.0,60.0,14.0,14.0,34.0,28.0,42.0,23.0,43.0,57.0,45.0
10708,2667,1215,1549,1437,1451,710,887,1302,1688,1762,1425,1200,551.0,60.0,39.0,20.0,29.0,19.0,39.0,45.0,22.0,47.0,47.0,37.0
10709,2695,1248,1584,1460,1566,730,925,1340,1703,1838,1487,1248,28.0,33.0,35.0,23.0,115.0,20.0,38.0,38.0,15.0,76.0,62.0,48.0
10710,2921,1298,1636,1507,1604,756,966,1387,1731,1923,1563,1303,226.0,50.0,52.0,47.0,38.0,26.0,41.0,47.0,28.0,85.0,76.0,55.0
10711,2957,1428,1643,1564,1633,797,1005,1441,1757,1962,1638,1351,36.0,130.0,7.0,57.0,29.0,41.0,39.0,54.0,26.0,39.0,75.0,48.0
10712,3013,1453,1651,1605,1655,820,1110,1489,1781,2027,1695,1390,56.0,25.0,8.0,41.0,22.0,23.0,105.0,48.0,24.0,65.0,57.0,39.0
10801,3055,1490,1692,1635,1691,847,1149,1545,1805,2130,1762,1453,42.0,37.0,41.0,30.0,36.0,27.0,39.0,56.0,24.0,103.0,67.0,63.0
